BD-10-head	BD-9-head	KD-8-head	KD-6-head	BD-10-tumor	BD-09-tumor	KD-8-tumor	KD-6-tumor
79	66	59	54	80	64	58	71
79	66	59	54	80	64	58	71
132	86	98	45	126	95	90	36
84	40	100	73	68	73	80	67
100	44	100	93	69	83	82	71
100	44	100	93	69	83	82	71
70	70	47	157	93	63	67	150
70	70	47	157	93	63	67	150
51	18	44	63	45	45	42	64
2	0	2	3	2	2	6	5
38	27	23	37	43	22	38	36
118	99	112	147	129	119	132	114
9	5	7	6	4	14	12	9
171	69	134	122	167	109	123	121
171	69	135	122	168	110	123	121
204	94	177	142	182	136	163	155
79	18	78	74	76	56	71	63
57	33	56	54	54	50	51	43
24	15	27	25	26	27	25	30
108	45	84	84	78	78	76	82
125	89	128	107	198	97	138	150
42	15	51	27	43	40	55	31
27	13	14	28	31	15	35	49
26	13	13	23	27	15	33	41
138	94	94	116	120	107	113	93
100	61	71	88	100	90	82	79
37	29	35	33	58	36	48	23
60	30	37	71	46	35	45	62
65	30	66	86	66	73	95	99
65	30	66	86	66	73	95	99
65	30	66	86	66	73	95	99
100	50	99	133	100	114	150	127
101	49	97	128	101	105	148	124
249	130	224	269	341	245	387	379
249	130	224	269	341	245	387	379
284	144	263	298	380	274	441	426
249	130	224	269	341	245	387	379
249	130	224	269	341	245	387	379
137	34	91	110	175	111	189	159
141	34	91	111	182	111	196	165
146	34	91	112	184	116	200	169
42	18	53	53	38	54	56	41
42	18	53	53	38	54	56	41
83	64	85	102	81	69	109	65
53	17	30	11	41	35	41	7
50	28	52	37	89	37	61	38
24	30	33	38	62	21	65	68
90	43	72	99	83	85	73	77
68	52	80	55	95	102	93	55
50	28	43	52	66	51	70	31
32	30	45	46	23	51	55	47
32	30	45	46	23	51	55	47
32	30	45	46	23	51	55	47
32	30	45	46	23	51	55	47
66	30	48	109	61	79	64	103
43	29	77	102	33	53	44	105
18	7	10	13	12	12	15	14
94	45	90	106	71	120	125	112
30	24	10	20	28	47	23	24
30	20	27	27	60	40	52	60
143	68	130	112	104	107	121	98
48	18	46	99	30	59	45	79
114	31	106	91	73	113	109	114
124	33	115	102	77	119	115	123
128	35	116	103	77	121	115	127
128	36	117	103	77	123	115	127
128	36	117	103	77	123	115	127
44	12	28	68	57	48	72	75
47	23	32	77	35	45	50	56
38	19	26	46	57	37	51	35
38	19	26	46	57	37	51	35
39	20	27	46	58	37	53	37
39	20	27	46	58	37	53	37
40	24	27	46	59	37	54	38
40	24	27	46	59	37	54	38
117	72	114	169	118	116	176	177
114	48	90	96	102	94	100	103
217	152	208	219	194	215	244	189
116	56	88	124	111	106	120	104
100	65	95	107	69	83	126	99
32	29	49	76	48	72	64	59
36	29	37	45	31	57	49	44
70	32	69	78	74	88	79	70
84	47	76	73	58	59	82	81
180	103	158	177	173	197	201	164
194	115	180	198	196	203	215	177
194	115	180	198	196	203	215	177
192	115	180	198	196	203	215	177
128	105	118	149	159	147	151	123
43	22	55	71	54	45	64	44
80	48	59	122	80	109	107	79
110	75	87	129	84	89	100	84
190	95	158	191	182	134	119	180
71	36	77	92	103	54	80	48
96	78	105	124	103	109	116	113
191	82	158	143	132	116	115	161
43	27	50	41	40	29	20	27
151	78	124	136	169	130	152	116
66	36	61	103	51	36	49	74
48	35	48	66	77	57	73	75
48	35	48	66	77	57	73	75
192	138	221	195	217	179	165	206
195	138	221	195	217	179	165	206
103	51	100	154	118	110	126	155
75	53	54	155	74	38	86	153
134	51	81	100	65	94	157	135
82	40	77	87	110	67	111	92
82	40	73	80	110	66	109	92
82	40	73	80	110	66	109	92
114	47	80	107	55	64	80	109
180	121	172	228	155	180	194	224
180	121	172	228	155	180	194	224
43	39	36	52	33	36	67	54
114	67	104	123	130	98	102	64
72	36	106	71	90	73	52	86
72	36	106	71	90	73	52	86
97	85	93	98	87	74	97	72
56	37	68	59	45	40	84	61
83	51	91	88	70	69	63	69
64	35	39	72	49	55	59	35
57	40	73	49	65	50	69	30
68	44	87	68	75	60	77	43
68	44	87	68	75	60	77	43
68	44	87	68	75	60	77	43
53	24	31	92	83	69	93	127
43	25	50	106	84	74	68	141
65	40	56	102	36	47	47	84
108	59	94	145	100	99	75	121
26	12	16	50	21	9	56	55
185	129	151	182	218	179	203	205
39	45	46	58	72	71	93	83
39	45	45	58	72	71	93	79
39	48	48	58	72	74	94	84
32	47	37	52	59	59	81	67
32	49	37	53	59	59	81	67
11	6	14	15	35	11	20	28
64	28	75	69	63	77	64	54
76	50	86	98	100	112	117	79
16	6	14	14	13	21	14	21
35	21	25	30	43	33	68	26
92	58	106	62	88	111	105	62
146	74	147	95	156	152	145	94
53	17	55	70	34	51	44	61
75	33	70	40	49	79	87	46
82	41	70	81	60	90	100	83
104	63	59	88	80	101	114	58
154	101	143	119	151	173	171	109
41	31	59	56	59	41	65	63
86	29	71	108	79	60	100	78
163	115	133	160	144	134	146	145
30	7	19	21	7	21	27	10
9	2	4	17	4	7	15	12
8	2	4	17	4	7	15	12
74	65	86	108	64	68	78	80
80	42	72	116	64	79	70	106
36	17	20	50	36	44	37	39
256	163	190	230	207	248	264	187
137	86	152	141	138	162	198	128
140	86	152	141	138	162	198	128
168	91	145	117	126	150	160	125
66	25	61	89	84	92	135	104
56	17	49	72	86	85	135	90
56	17	49	72	86	85	135	90
48	13	44	72	77	80	122	78
56	17	50	73	88	87	135	91
63	30	65	53	63	88	74	61
68	30	68	82	81	62	117	82
46	39	68	75	57	92	119	70
46	40	69	76	58	97	121	73
86	56	103	103	80	74	113	100
83	69	76	128	86	81	112	115
47	22	51	65	39	65	73	66
38	24	38	33	41	49	56	38
38	24	38	33	41	53	56	38
35	23	43	50	50	59	75	36
130	95	122	143	101	178	135	117
64	60	96	68	71	81	90	73
64	60	96	68	71	81	90	73
73	35	68	33	69	66	76	40
86	50	86	92	81	81	93	100
73	39	84	78	68	106	84	84
110	50	93	129	88	110	125	85
110	61	82	126	97	134	109	103
16	6	29	35	31	50	45	26
16	6	29	35	31	50	45	26
65	29	46	100	57	71	85	92
22	29	36	47	43	50	69	61
79	58	74	94	95	88	86	81
33	13	28	51	11	46	43	46
5	0	4	9	8	13	14	16
41	25	30	54	42	50	57	64
343	229	300	332	323	320	306	265
389	271	345	361	373	383	347	306
389	271	345	361	373	383	347	306
37	21	29	66	32	52	51	82
20	15	35	32	24	31	30	35
66	11	51	84	22	63	84	60
88	46	76	61	64	71	100	53
31	20	38	42	25	29	47	35
5	0	1	3	1	1	8	8
174	107	174	171	125	187	161	179
174	107	174	171	125	187	161	179
43	20	24	42	23	39	35	37
154	98	167	177	148	186	195	157
49	39	47	72	64	67	92	84
132	107	145	162	124	128	97	87
60	31	58	51	32	63	70	65
113	62	103	117	101	126	136	77
64	41	65	80	77	103	99	61
87	51	101	101	81	128	115	93
87	51	101	101	81	128	115	93
87	51	101	101	81	128	115	93
87	51	101	101	81	131	115	93
124	61	110	119	110	114	137	105
135	85	111	124	125	117	127	110
391	279	414	392	515	356	354	380
114	54	96	116	137	106	87	75
158	93	161	136	154	114	118	121
158	93	161	136	154	114	118	121
158	93	161	136	154	114	118	121
53	37	70	56	72	48	86	44
90	65	81	108	109	77	83	90
40	28	37	61	37	53	85	41
122	114	121	125	104	138	115	107
75	16	35	79	42	81	91	47
